date,gross_return,turnover,cost,net_return,cum_gross,cum_net
2023-01-03,-0.014170823053049689,2.0,0.0016,-0.01577082305304969,0.9858291769469503,0.9842291769469503
2023-01-04,0.00684785203269927,0.0,0.0,0.00684785203269927,0.9925799892802007,0.9909690327169485
2023-01-05,0.009773253636693712,0.0,0.0,0.009773253636693712,1.002280725270143,1.0006540244198001
2023-01-06,0.0062604686634840185,0.0,0.0,0.0062604686634840185,1.0085554723427106,1.0069185875826694
2023-01-09,0.012572414935030909,0.0,0.0,0.012572414935030909,1.021235450225999,1.019577985871554
2023-01-10,0.0005068640882746282,1.4127389585369918,0.0011301911668295936,-0.0006233270785549654,1.0217530778013915,1.0189424553042616
2023-01-11,0.004574585491739657,0.0,0.0,0.004574585491739657,1.026427174607242,1.023603694677214
2023-01-12,0.006705976586287817,0.0,0.0,0.006705976586287817,1.0333103712076877,1.0304679570873572
2023-01-13,0.004919597688500469,0.0,0.0,0.004919597688500469,1.0383938425213843,1.0355374448671177
2023-01-17,-0.001622797002966967,0.0,0.0,-0.001622797002966967,1.0367087401058412,1.0338569778051272
2023-01-18,0.0006458696040275902,1.6807695433725938,0.001344615634698075,-0.0006987460306704849,1.0373783187693055,1.0331345743456049
2023-01-19,0.0034400390184663983,0.0,0.0,0.0034400390184663983,1.040946940662783,1.0366885975926803
2023-01-20,-0.000510963568405169,0.0,0.0,-0.000510963568405169,1.0404150546994615,1.0361588874875294
2023-01-23,-0.006876350427974979,0.0,0.0,-0.006876350427974979,1.0332607961928073,1.0290338958781045
2023-01-24,0.0004144603308064509,0.0,0.0,0.0004144603308064509,1.0336890418042068,1.0294603896070011
2023-01-25,-0.0040752756963369574,1.885539756888139,0.0015084318055105111,-0.005583707501847468,1.0294764739745723,1.0237121839066978
2023-01-26,-0.01855859352548636,0.0,0.0,-0.01855859352548636,1.0103708385500272,1.0047135255984854
2023-01-27,-0.006919066309051345,0.0,0.0,-0.006919066309051345,1.0033800157213677,0.9977618460932687
2023-01-30,0.01269760022905588,0.0,0.0,0.01269760022905588,1.0161205340388215,1.010431027138766
2023-01-31,-0.0006367196881210249,0.0,0.0,-0.0006367196881210249,1.0154735500892949,1.0097876658102984
2023-02-01,-0.01366979060257388,1.7609338355956003,0.0014087470684764803,-0.01507853767105036,1.001592239297122,0.9945615444516158
2023-02-02,-0.02308739920680037,0.0,0.0,-0.02308739920680037,0.9784680794260362,0.9715997050391294
2023-02-03,0.018558505933357033,0.0,0.0,0.018558505933357033,0.9966269850836648,0.9896311439299461
2023-02-06,0.008722677031051078,0.0,0.0,0.008722677031051078,1.0053202403949797,0.9982633767783167
2023-02-07,-0.01499883884370876,0.0,0.0,-0.01499883884370876,0.9902416041229768,0.9832905852664422
2023-02-08,0.0006745347983145055,1.1606757068181348,0.0009285405654545079,-0.0002540057671400024,0.9909095565436966,0.9830408237870101
2023-02-09,0.0015018395439901511,0.0,0.0,0.0015018395439901511,0.9923977437002316,0.98451719336953
2023-02-10,0.012518358598630177,0.0,0.0,0.012518358598630177,1.0048209345283425,0.9968417326426467
2023-02-13,-0.002782310987962778,0.0,0.0,-0.002782310987962778,1.0020252102012692,0.9940682089366553
2023-02-14,-0.006823206176779627,0.0,0.0,-0.006823206176779627,0.9951881855977349,0.9872854765932984
