Date,Ticker,Close,Daily_Return,SMA_10,SMA_20,SMA_50,Volatility_20,Predicted_Return,Actual_Return,Split
2023-03-16,AAPL,153.3507537841797,1.8694110536170871,149.5939712524414,147.92074813842774,142.96767837524413,1.5424680879924402,0.5474896386838141,-0.5453833559121213,Train
2023-03-16,MSFT,268.721435546875,4.053672558397858,250.74856567382807,248.222371673584,243.1742321777344,1.837049080251528,-0.01014952135986058,1.169398909586139,Train
2023-03-16,TSLA,184.1300048828125,2.0393505108375454,182.9989990234375,192.22649993896485,171.90419967651368,3.482357012393117,0.1705519344334437,-2.172378153438792,Train
2023-03-17,AAPL,152.514404296875,-0.5453833559121213,149.98460998535157,147.98421401977538,143.53508377075195,1.5282329044137624,0.755893728985762,1.5483857025543557,Train
2023-03-17,MSFT,271.8638610839844,1.169398909586139,253.09719848632807,249.0629737854004,244.1647134399414,1.7256080637018023,-4.437150446195414e-06,-2.5766590877073225,Train
2023-03-17,TSLA,180.1300048828125,-2.172378153438792,181.23300018310547,191.13100051879883,173.23399978637696,3.300615989678424,0.8014947314585156,1.7320796272765726,Train
2023-03-20,AAPL,154.87591552734375,1.5483857025543557,150.3358901977539,148.2228256225586,144.1760498046875,1.5507846116279778,0.645551586029794,1.194400207764601,Train
2023-03-20,MSFT,264.8588562011719,-2.5766590877073225,254.5916091918945,249.7522880554199,245.1468878173828,1.7977849309242464,-0.011580482251597541,0.5693812403537502,Train
2023-03-20,TSLA,183.25,1.7320796272765726,180.1770004272461,189.87800064086915,174.69219985961914,3.234966771926915,1.0893545850486257,7.8199191438224736,Train
2023-03-21,AAPL,156.7257537841797,1.194400207764601,151.0915725708008,148.7541648864746,144.76362564086915,1.413442198779321,0.4618035222839593,-0.9103433987471156,Train
2023-03-21,MSFT,266.3669128417969,0.5693812403537502,256.50145721435547,250.77920837402343,246.108369140625,1.709309323882245,0.30111452087108614,-0.5442404607260198,Train
2023-03-21,TSLA,197.5800018310547,7.8199191438224736,181.16399993896485,189.8885009765625,176.38259994506836,3.548614052746217,-0.36306530506624457,-3.2543819591966616,Train
2023-03-22,AAPL,155.29901123046875,-0.9103433987471156,151.57962036132812,149.19301376342773,145.3122528076172,1.4418205911834607,0.5290438790898534,0.6969371003753722,Train
