Ticker,Split,Samples,RMSE,MAE,R2,Baseline_RMSE,Baseline_MAE
Overall,Test,378,2.8595211980406363,1.7382254236023293,-0.023738490287473546,2.836662329706555,1.7486811989708375
AAPL,Test,126,1.2880307285019992,0.9564528068190659,-0.013508695869571818,1.2860375805116515,0.9651874517013922
MSFT,Test,126,1.293473284637884,0.9474762189736795,0.008415106803512318,1.299760892544672,0.9593598964358424
TSLA,Test,126,4.6041815939962625,3.310747245014243,-0.04024146737207235,4.560338636773795,3.321496248775278
