Date,Ticker,Open,High,Low,Close,Volume,Daily_Return,Target_Next_Return,SMA_10,SMA_20,SMA_50,EMA_12,EMA_26,MACD,MACD_Signal,Volatility_10,Volatility_20,Bollinger_Upper,Bollinger_Lower,Bollinger_Width,RSI_14,Volume_Change,Volume_SMA_10,High_Low_Spread,Close_to_SMA20_Ratio,Return_Lag_1,Return_Lag_2,Return_Lag_3,Ticker_AAPL,Ticker_MSFT,Ticker_TSLA
2023-03-16,AAPL,149.71992520737962,153.95097226183628,149.20825986230471,153.3507537841797,76161100,1.8694110536170871,-0.5453833559121213,149.5939712524414,147.92074813842774,142.96767837524413,149.1997297677711,147.25186321113623,1.9478665566348639,1.8800497986353657,1.6822982206713304,1.5424680879924402,153.66220739374705,142.17928888310843,0.0776288563649816,63.44992817466066,-1.3046875708682015,69556510.0,0.03092721934843758,1.0367088844133645,0.2621401936812928,1.408915636450958,1.326593588365954,1.0,0.0,0.0
2023-03-16,MSFT,258.028987963125,269.0716736937698,256.1512530626568,268.721435546875,54768800,4.053672558397858,1.169398909586139,250.74856567382812,248.22237167358398,243.17423217773438,252.0749925525566,249.10102267026411,2.9739698822924936,1.356487913671939,1.7914818143253803,1.8370490802515278,261.648141191719,234.79660215544897,0.10817533832760325,64.97347958075343,18.990179890501423,31642740.0,0.048081094107058,1.0825834663293266,1.7830564980051866,2.705555091286338,2.144087705658726,0.0,1.0,0.0
2023-03-16,TSLA,180.3699951171875,185.80999755859372,178.83999633789062,184.1300048828125,121136800,2.0393505108375454,-2.172378153438792,182.9989990234375,192.22649993896485,171.90419967651368,184.8274142973555,184.69542251318916,0.13199178416633117,3.5892402809296615,3.2045029659151556,3.482357012393117,215.578333006894,168.87466687103569,0.2429616423889918,51.09660172119338,-17.027088487598252,152247030.0,0.0378536959532428,0.9578804428175973,-1.5333393227232484,5.0320947926932424,0.5996271168666301,0.0,0.0,1.0
2023-03-17,AAPL,153.5770871091514,154.2265068856699,151.80594908869074,152.514404296875,98944600,-0.5453833559121213,1.5483857025543557,149.98460998535157,147.98421401977538,143.53508377075195,149.70967969532555,147.64168106933909,2.067998625986462,1.9176395641055852,1.3854812250583113,1.5282329044137624,153.90563943806063,142.06278860149013,0.08002779833657073,61.380133846586475,29.914877805073715,72377740.0,0.015871011057207732,1.0306126589724918,1.8694110536170871,0.2621401936812928,1.408915636450958,1.0,0.0,0.0
2023-03-17,MSFT,270.72555782486927,275.6582547664565,268.8380848690044,271.8638610839844,69527400,1.169398909586139,-2.5766590877073225,253.09719848632812,249.0629737854004,244.1647134399414,255.11943386508398,250.7871588490582,4.33227501602579,1.9516453341427091,1.7769695583870577,1.7256080637018025,265.94859550213243,232.17735206866834,0.13559319123268132,66.85861268999582,26.947093965907598,35519470.0,0.02508671020215229,1.0915466757344263,4.053672558397858,1.7830564980051866,2.705555091286338,0.0,1.0,0.0
2023-03-17,TSLA,184.5200042724609,186.22000122070312,177.3300018310547,180.1300048828125,133197100,-2.172378153438792,1.7320796272765726,181.23300018310547,191.13100051879883,173.23399978637696,184.10473592588733,184.35724342945755,-0.25250750357022866,2.8208907240296837,2.927559099495222,3.300615989678424,214.59982271529455,167.6621783223031,0.24557839526599903,48.40186324712625,9.955934117460586,150147410.0,0.049353240152477766,0.9424426408791581,2.0393505108375454,-1.5333393227232484,5.0320947926932424,0.0,0.0,1.0
2023-03-20,AAPL,152.5832927983786,155.28919358755078,151.6780327765039,154.87591552734375,73641400,1.5483857025543557,1.194400207764601,150.3358901977539,148.2228256225586,144.1760498046875,150.50448520794373,148.17755028845053,2.3269349194931976,1.9994986351831079,1.3495329340547608,1.5507846116279778,154.84678952005274,141.59886172506444,0.08937845935229592,64.86526877695331,-25.5730984813724,70986080.0,0.023316477573359858,1.044885731174272,-0.5453833559121213,1.8694110536170871,0.2621401936812928,1.0,0.0,0.0
2023-03-20,MSFT,269.4802407516752,269.96670228330714,262.543294560003,264.8588562011719,43466600,-2.5766590877073225,0.5693812403537502,254.59160919189452,249.7522880554199,245.1468878173828,256.6178065321744,251.8295068010666,4.788299731107827,2.518976213535733,2.0961323164017305,1.7977849309242464,268.04987711998376,231.45469899085606,0.1465258973763926,59.208665641557154,-37.48277657441527,37455150.0,0.028027787440363085,1.0604862052050543,1.169398909586139,4.053672558397858,1.7830564980051866,0.0,1.0,0.0
2023-03-20,TSLA,178.0800018310547,186.44000244140625,176.35000610351562,183.25,129684400,1.7320796272765726,7.8199191438224736,180.1770004272461,189.87800064086915,174.69219985961914,183.97323809113544,184.2752253976459,-0.3019873065104548,2.1963151179216562,3.0068011872069027,3.234966771926915,212.12931037704874,167.62669090468955,0.23437480551804635,50.59069295709809,-2.6372195791049546,150305840.0,0.05506137155738404,0.9650933724891848,-2.172378153438792,2.0393505108375454,-1.5333393227232484,0.0,0.0,1.0
2023-03-21,AAPL,154.7971931327365,156.84382463636302,154.02968755125636,156.7257537841797,73938300,1.194400207764601,-0.9103433987471155,151.0915725708008,148.7541648864746,144.76362564086915,151.46160345044157,148.81075054739344,2.6508529030481327,2.129769488756113,1.2364530703266725,1.413442198779321,156.30131986315507,141.20700990979412,0.1014715115027572,67.35074989603481,0.40316995603015826,72761710.0,0.017955805074524593,1.0535890131465482,1.5483857025543557,-0.5453833559121213,1.8694110536170871,1.0,0.0,0.0
2023-03-21,MSFT,267.4371343013886,267.5538803349331,262.2222505034053,266.3669128417969,34558700,0.5693812403537502,-0.5442404607260198,256.50145721435547,250.77920837402343,246.108369140625,258.1176690413471,252.90635169297252,5.211317348374564,3.0574444405034993,2.0144208133717436,1.709309323882245,270.40661549842866,231.15180124961822,0.1565313747631903,60.262791147089054,-20.493666401328838,38763700.0,0.020016111515676296,1.062157084587831,-2.5766590877073225,1.169398909586139,4.053672558397858,0.0,1.0,0.0
