Date,Open,High,Low,Close,Volume
2023-01-03,235.90725134496904,238.49846380336683,230.39484781786445,232.51052856445312,25740000
2023-01-04,225.4259564644858,225.99854338319813,219.2924526600918,222.3397979736328,50623400
2023-01-05,220.49584400645332,220.83552222933494,215.21636361108918,215.75013732910156,39585600
2023-01-06,216.4198034707522,219.09835714227594,212.87751216247153,218.2928466796875,43613600
2023-01-09,219.76798480761224,224.41665135349578,219.7291716302323,220.418212890625,27369800
2023-01-10,221.03935048334114,224.48460157088834,220.62204584662,222.09719848632812,27033900
2023-01-11,224.46514190067145,228.98763925739453,224.29046040694882,228.81295776367188,28669300
2023-01-12,228.3180220940589,232.821105949786,226.6681880812586,231.4721221923828,27269500
2023-01-13,230.0066742453539,232.30673624907553,227.98804849183014,232.17086791992188,21333300
2023-01-17,230.9480211551264,233.80127048298723,230.0939833131721,233.25779724121094,29831300
2023-01-18,234.4418522484385,235.22794870990262,228.57037036509706,228.851806640625,30028700
2023-01-19,226.88172064205048,228.57038281279662,223.87318816519613,225.0863037109375,28623000
2023-01-20,227.92981370488926,233.6363129556783,227.5901354890902,233.13165283203125,35389800
2023-01-23,233.98571827354252,237.93561455180438,232.57849247852556,235.4220428466797,31934000
2023-01-24,235.34439747923588,236.75160844059997,233.3451855854794,234.89796447753906,40234400
2023-01-25,227.5610098347346,236.12075825686085,224.08664593704998,233.5101318359375,66526600
2023-01-26,236.4604808024221,240.98297919801647,234.8591741746472,240.68212890625,33454500
2023-01-27,241.6428822092,242.45809218411858,239.54661529494882,240.83737182617188,26498900
2023-01-30,237.2950768809861,238.35292478678218,235.05324194345323,235.54820251464844,25867400
2023-01-31,236.2663938483362,240.6336100555459,235.7811476030907,240.49774169921875,26541100
2023-02-01,240.6821076556318,247.65023576111176,238.2267631452796,245.2919464111328,31259900
2023-02-02,251.182852423541,256.8796381260482,249.65917223320272,256.79229736328125,39940400
2023-02-03,251.8815727441677,256.4040702889057,249.5135692294624,250.7266845703125,29077300
2023-02-06,249.84354121530777,250.67815038089995,247.26202813154237,249.19329833984375,22518000
2023-02-07,252.84235731907512,260.83920438047807,252.40562393796253,259.6649169921875,50841400
2023-02-08,265.13846022946933,268.593409822923,258.35470014039424,258.859375,54686000
2023-02-09,265.7208390034506,265.8955501652922,255.0454213286766,255.8412322998047,42375100
2023-02-10,253.812867726257,256.29732581806934,252.96854410513563,255.3365478515625,25818500
2023-02-13,259.7426206728503,266.49724001770915,259.26705921966635,263.31402587890625,44630900
2023-02-14,264.62416219078045,266.856282749665,261.33417890703004,264.138916015625,37047900
2023-02-15,261.0547258535999,263.3994740205076,258.972656227329,262.02764892578125,28922400
2023-02-16,256.87118053744996,259.51753291113,254.80858804011677,255.05181884765625,29603600
2023-02-17,252.36657534668234,253.04760380497552,249.068351286821,251.07257080078125,30000100
2023-02-21,247.58949511011687,248.57215705654002,244.7777476181148,245.82850646972656,28397400
2023-02-22,247.21003358389876,247.45326436545926,243.56157186049097,244.69989013671875,22491100
2023-02-23,248.64024584758673,249.88558633204974,243.69779430491118,247.87164306640625,29219100
2023-02-24,243.1918464363868,244.20367985270448,241.3822090117807,242.4718780517578,24990900
2023-02-27,245.62417017099744,245.97442307770388,242.63728915469153,243.38644409179688,21190000
2023-02-28,242.32598969202303,244.68046206564443,241.99518451978517,242.66650390625,22491000
2023-03-01,243.97020688018864,244.13560203633548,239.1347775749903,239.60179138183594,27565300
2023-03-02,239.8742028427946,244.592871158647,238.95965271701235,244.31072998046875,24808200
2023-03-03,245.36148024067188,248.69859936512998,244.58313878749726,248.37753295898438,30760100
2023-03-06,249.48666061100502,253.07674918507004,249.04884819003743,249.9147491455078,24109800
2023-03-07,249.3602116204825,250.7125891600785,246.52901630785823,247.2684326171875,21473200
2023-03-08,247.16137194826737,247.6478334867659,244.01883456634258,246.83058166503906,17340200
2023-03-09,248.8931916251687,252.53191447494493,244.76799238551584,245.4879608154297,26653400
2023-03-10,244.28157783106303,245.94526831886697,240.89580898858623,241.85899353027344,28333900
2023-03-13,240.701198918384,250.9266314715002,239.07641892091627,247.04466247558594,33339700
2023-03-14,249.79797477159795,254.0010091653207,248.9320739144134,253.7285919189453,33620300
2023-03-15,252.9405641280701,259.26456442561187,252.19139432118732,258.2527160644531,46028000
2023-03-16,258.028987963125,269.0716736937698,256.1512530626568,268.721435546875,54768800
2023-03-17,270.72555782486927,275.6582547664565,268.8380848690044,271.8638610839844,69527400
2023-03-20,269.4802407516752,269.96670228330714,262.543294560003,264.8588562011719,43466600
2023-03-21,267.4371343013886,267.5538803349331,262.2222505034053,266.3669128417969,34558700
2023-03-22,265.9971667055635,273.43031336043435,264.81019934883693,264.917236328125,34873300
2023-03-23,270.41432409449396,273.4498402612258,267.7485235593219,270.14190673828125,36610900
2023-03-24,269.7332022897182,273.03142599171395,267.8262812456373,272.9730529785156,28172000
2023-03-27,272.90492269572303,273.8389205347129,268.0597550905618,268.896484375,26840200
2023-03-28,268.32248351379377,268.6630125541161,264.68373074732534,267.77764892578125,21878600
2023-03-29,271.4065938576128,273.52758857930763,270.8714980799914,272.9146423339844,25087000
2023-03-30,276.53394388967973,276.7576972006701,273.8584053599599,276.3587951660156,25053400
2023-03-31,276.04753751584985,281.4375111990139,275.33729282077917,280.4937744140625,32766000
2023-04-03,278.761931454292,280.46454697415277,276.26154151333856,279.4527282714844,24883300
2023-04-04,279.4527472277195,282.5855611844231,277.93498937950386,279.4040832519531,25824300
2023-04-05,278.1100534490355,279.37484150873803,275.25939610333745,276.64093017578125,22064800
2023-04-06,275.5415966022882,284.171421432575,274.39355424617895,283.7044372558594,29770300
2023-04-10,281.37908101323706,281.7585352734682,277.00092706983764,281.5542297363281,23103000
2023-04-11,278.0128240085293,278.2366070491665,274.01412362630157,275.171875,27276600
2023-04-12,277.07878271017614,279.2386732168352,274.32539366289427,275.81396484375,27403400
2023-04-13,275.91120566345813,282.0503468765026,275.50259466661186,281.9919738769531,24222700
2023-04-14,279.22894208294247,280.66887902365164,276.00856885442937,278.3922424316406,20987900
2023-04-17,282.07960200286976,283.7043967289592,278.4116924129814,280.9801940917969,23836200
2023-04-18,283.6751943988744,283.86005216252715,279.23866745372095,280.56182861328125,20161800
2023-04-19,278.2463272755176,281.2234702218599,276.8356062940719,280.6397399902344,17150300
2023-04-20,277.52633742538336,281.20398586251105,277.3609274204324,278.363037109375,23244400
2023-04-21,277.2927991907115,278.5186620047946,275.3955874268566,278.0224914550781,21676400
2023-04-24,274.45190651995864,277.234482358,271.173160031667,274.14056396484375,26611000
2023-04-25,271.941745821894,273.9751515427264,267.91382992661585,267.9624938964844,45772200
2023-04-26,288.66631890750085,291.45860367890464,284.80381270160626,287.372314453125,64599200
2023-04-27,287.9560567732343,296.936147852177,287.2555509397699,296.5761413574219,46462600
2023-04-28,295.7783383038111,300.5651029592613,295.097280309873,298.9403381347656,36469600
2023-05-01,298.65820207273595,300.2440714597597,296.887474923344,297.286376953125,21294100
2023-05-02,299.42681707438953,300.8083512230657,295.6810572722288,297.14044189453125,26404400
2023-05-03,298.3176970170622,300.25380462015016,295.8562025897096,296.1578063964844,22360800
2023-05-04,297.9479549880525,299.42681707438953,295.1848569994441,297.14044189453125,22519900
2023-05-05,297.4420521379096,303.5228215296377,296.03130176252597,302.2385559082031,28197100
2023-05-08,301.7326615616671,301.8007733081372,297.8020437181864,300.292724609375,21318600
2023-05-09,299.66033160181695,301.6451031506541,298.0160890953245,298.6874084472656,21340800
2023-05-10,300.26351860842567,304.5249264836218,299.33925948976275,303.8536071777344,30078000
2023-05-11,301.70342572575834,302.6957964886429,297.9674049998212,301.713134765625,31680200
2023-05-12,302.14130111816417,302.23859938067807,298.2982721245842,300.6040954589844,19774700
2023-05-15,300.7306029224894,301.50892969880647,299.261479214083,301.0808410644531,16336500
2023-05-16,301.4407550392499,305.2157014683238,301.4407550392499,303.2990417480469,26730300
2023-05-17,304.49838322404014,306.5849748220485,302.98703781876026,306.16571044921875,24315000
2023-05-18,306.68252689685806,311.0800126585323,305.8927386445008,310.5729675292969,27276000
2023-05-19,308.8372836549044,310.7971433987786,308.476519967082,310.3973693847656,27546700
2023-05-22,310.65088838415517,314.5413277664758,310.07561254298156,313.16650390625,24115700
2023-05-23,312.04529609718725,314.66818336254534,307.38455760354833,307.3943176269531,30797200
2023-05-24,306.87751903685313,308.60334694737196,304.81038789466385,306.01947021484375,23384900
2023-05-25,315.1751430242443,318.7438294879401,312.0159906409768,317.7882995605469,43301700
2023-05-26,315.9356633458704,325.0816363269195,315.7991718307155,324.5843811035156,36630600
2023-05-30,326.86600894737563,327.36326419300417,322.2735022093098,322.9462890625,29503100
2023-05-31,323.99940574363865,327.5583326539221,319.16313582793106,320.19671630859375,45950600
2023-06-01,317.7980281716673,325.2084138620462,316.61822604492374,324.2821044921875,26773900
2023-06-02,325.91052805965796,329.07944119711163,324.2529308237524,327.0318298339844,25873800
2023-06-05,326.8562818593042,330.11294548453895,326.31025620693947,327.5583190917969,21307100
2023-06-06,326.9635018339944,327.00251216553283,323.8823700342451,325.35467529296875,20396200
2023-06-07,323.37526627503576,326.144404188158,314.45356638917923,315.3116149902344,40717100
2023-06-08,315.85770223750364,318.4903491637824,315.28242630303987,317.144775390625,23277700
2023-06-09,316.881549531298,321.7568004475304,316.3160335177299,318.63665771484375,22529000
2023-06-12,320.3819407440362,323.8141360540533,317.0472861489783,323.57037353515625,24260300
2023-06-13,326.1249647437929,328.572349691123,322.14677395783576,325.949462890625,22951300
2023-06-14,325.9982202996805,330.58096729872784,324.50639495848685,328.9233703613281,26003800
2023-06-15,329.0598905688736,341.1114945004108,328.78687775426107,339.4149169921875,38899100
2023-06-16,342.5545998111812,342.70085137133475,333.41838536086453,333.78887939453125,46552000
2023-06-20,330.8442648527532,333.5451430628632,327.4803299242777,329.6156921386719,26375400
2023-06-21,327.9775589781728,329.30364243212927,323.78485594149885,325.2376708984375,25117800
2023-06-22,325.7836965611128,331.63399647710884,325.0231587622799,331.2342224121094,23556800
2023-06-23,326.0176878258627,329.52787360599757,325.13041855453594,326.6612243652344,23146900
2023-06-26,325.39364834816934,327.7240020967906,320.29412674467744,320.4013977050781,21520600
2023-06-27,323.5800965917035,327.7630696544983,321.08397083431,326.2225036621094,24354100
2023-06-28,326.31026905867196,329.5474425224492,325.48147052492266,327.4705810546875,20259500
2023-06-29,326.35897729326905,327.72404134255896,324.3211263632283,326.69049072265625,16997000
2023-06-30,329.3231809112348,334.17894126353815,328.7869152430103,332.0435791015625,26832800
2023-07-03,330.727231395335,332.394558661991,328.1726050055835,329.5571594238281,12508700
2023-07-05,326.7295145394102,333.12584042536054,326.3785108077479,329.7131652832031,18172400
2023-07-06,328.88439044633213,334.432427956872,327.1293121494876,332.7553405761719,28161200
2023-07-07,330.8539769415479,333.26235165945616,328.5918537740865,328.8063659667969,21214800
2023-07-10,326.25178071727987,326.8660670625544,319.4166697574399,323.5508728027344,32791400
2023-07-11,322.80007207810127,324.55515029230673,318.84137119543414,324.1748962402344,26698200
2023-07-12,328.201859758283,333.12585071299276,327.2950703339859,328.7868957519531,29995300
2023-07-13,331.08802584608395,335.163728322895,330.56149043448164,334.1106872558594,20567200
2023-07-14,338.9176246633776,342.66181307865304,335.71946186556954,336.6262512207031,28352700
2023-07-17,337.0552945851425,338.33260777182664,333.66213945063294,337.10406494140625,20363900
2023-07-18,337.20150526147,357.62881326178683,333.63284869185065,350.52069091796875,64738600
2023-07-19,352.7242990079896,353.41657610071684,343.6465868791131,346.220703125,39732900
2023-07-20,344.74845393864297,349.0386682151087,336.7530316118285,338.2156066894531,33778400
2023-07-21,340.43870595783125,341.56000752112044,331.35123269865875,335.19293212890625,69405400
2023-07-24,337.2210384138867,338.2643490243122,333.76935318489967,336.4994812011719,26678100
2023-07-25,338.44955437650464,343.11032143509397,336.4604740174563,342.2230224609375,41637700
2023-07-26,332.92106736693563,336.07048951280683,324.7988843745913,329.3426208496094,58383700
2023-07-27,331.9850338749244,332.8138025679025,320.8401897883476,322.4685363769531,39635300
2023-07-28,325.3448958728124,331.5267083383541,324.8573709488155,329.9276123046875,28484900
2023-07-31,328.51386838696095,329.2744062182313,325.0426629130829,327.538818359375,25446000
2023-08-01,326.827001708787,330.0934250583603,325.37418677597503,327.94830322265625,18311900
2023-08-02,325.3059805314277,325.3059805314277,318.2173470228,319.32891845703125,27761300
2023-08-03,317.8663510212776,321.6495503895118,317.81761041591994,318.5098876953125,18253700
2023-08-04,323.5996401737791,326.7783131025437,319.07539331182784,319.6019287109375,23741500
2023-08-07,320.1772016181311,322.84882941223,319.34840306884576,321.873779296875,17741500
2023-08-08,318.802307526203,320.54765518196075,314.94111824721926,317.9150085449219,22327600
2023-08-09,318.32454016439254,318.94855662350545,313.039756644874,314.1903381347656,22373300
2023-08-10,317.8857952635295,320.0699275319088,313.16655676040074,314.8728942871094,20113700
2023-08-11,312.26953644201075,314.3658880842269,311.2457160426732,313.0008239746094,24355500
2023-08-14,313.37141453345845,315.97478204084996,312.09407132863737,315.9552917480469,18836100
2023-08-15,314.94119179178944,316.9790429914667,312.8935805688444,313.8296203613281,16966300
2023-08-16,313.4582836388938,316.9954627703804,312.4811692512175,313.06744384765625,20698900
2023-08-17,313.20426358487214,314.50381263909213,308.9733414603899,309.6280212402344,21257200
2023-08-18,307.29273496852556,311.0937247535903,304.4200159024574,309.2372131347656,24755000
2023-08-21,310.65390632074093,315.38313540758935,309.784290200261,314.5135192871094,24040000
2023-08-22,318.0507585907704,318.61747186045255,314.1032077999083,315.080322265625,16084600
2023-08-23,316.40920172771865,321.66608212966844,316.05742502712076,319.51641845703125,21166400
2023-08-24,325.2325788454507,325.35960850603135,312.63755817970616,312.6473388671875,23281400
2023-08-25,314.11295718549064,317.91391657239774,311.5040487015702,315.5884094238281,21684100
2023-08-28,318.20709765634393,318.68587419815776,314.3572643100924,316.2919616699219,14808500
2023-08-29,314.51357886440167,321.45109687018396,314.51357886440167,320.8941345214844,19284600
2023-08-30,321.14816243481806,322.26205720426236,318.97896754783574,321.2654113769531,15222100
2023-08-31,321.66608035944125,323.3369376753796,319.30145033255354,320.259033203125,26411000
2023-09-01,323.7277442108601,324.3921747944003,319.30141751711045,321.1383972167969,14942000
2023-09-05,321.47058500611996,327.1867092747721,321.13836974277154,325.91644287109375,18553900
2023-09-06,325.7503980121673,326.80566842614127,322.62362005663084,325.2618408203125,17535800
2023-09-07,323.70825547986243,325.4572688809115,321.4999672739755,322.3598327636719,18381000
2023-09-08,322.53566438985524,328.4667555070914,321.92007759322064,326.6199951171875,19530100
2023-09-11,329.5220931094113,330.6751109123213,327.75351820340376,330.2060852050781,16583300
2023-09-12,328.1345774558951,329.08237965274225,323.8939043767627,324.17724609375,17565500
2023-09-13,323.7277859536388,329.141008354495,323.59100543664357,328.36907958984375,16544400
2023-09-14,331.3884141519253,333.0592717863342,328.8674715775394,330.94873046875,20267000
2023-09-15,329.2094292987057,329.6784251727831,322.10578782450574,322.6627502441406,37679800
2023-09-18,320.29806225418173,322.83856545069517,318.8910152474716,321.52923583984375,16834200
2023-09-19,318.7054070395551,321.8517165023023,317.0833936077872,321.1286315917969,16505900
2023-09-20,321.9689546587249,322.0471106852366,313.1749256275898,313.428955078125,21436500
2023-09-21,311.95356654433346,317.9041899225686,307.79104947595397,312.2173767089844,35560400
2023-09-22,313.96642687422224,314.09345652566765,308.9147319725734,309.75506591796875,21447900
2023-09-25,309.34464808220946,310.39994834578414,307.7910397456029,310.2729187011719,17836000
2023-09-26,307.9180528712019,308.6508886408052,302.92498298833925,304.9964904785156,26297600
2023-09-27,305.1528159801847,307.1070447852302,302.6025617027996,305.6316223144531,19410100
2023-09-28,303.8728115871533,308.2600757204857,302.3680768122536,306.4621887207031,19683600
2023-09-29,310.478154923174,312.15879317799545,307.7715582965106,308.52392578125,24147300
2023-10-02,309.0417036720847,314.52333029570326,307.96687199890835,314.43536376953125,20570000
2023-10-03,313.4875679533543,314.03477939534076,304.0877331522798,306.2178649902344,21033500
2023-10-04,306.8432936513831,312.7157618822206,306.81398140643597,311.66046142578125,20720100
2023-10-05,311.78745935358154,312.6571055637684,307.6933472507753,312.05126953125,16965600
2023-10-06,309.3055602997531,321.65630098463043,309.06128169271835,319.7704772949219,25673600
2023-10-09,317.3179038998877,322.7408769349448,315.78382712320234,322.2718811035156,19891200
2023-10-10,323.38576454759857,323.52257487302114,320.1710797301385,320.8746032714844,20557100
2023-10-11,323.6300480505899,325.20321772099476,321.60744393030456,324.8123779296875,20063200
2023-10-12,323.0046828962765,325.9946502834495,321.1970154685532,323.5811767578125,19313100
2023-10-13,324.7732817040409,326.190079660526,318.8910340646987,320.2297058105469,21072400
2023-10-16,323.47370563502346,328.4472441018182,323.03402205271703,325.02734375,22158000
2023-10-17,322.0471280716989,325.8285559881701,319.91702585909127,324.4606018066406,18338500
2023-10-18,324.8807739787621,327.909834737972,320.7866620472197,322.55523681640625,23153600
2023-10-19,324.54851006231695,329.1702714544596,323.336897867666,323.7375183105469,25052100
2023-10-20,324.12841643957864,324.3238512632102,318.0019193859901,319.1940002441406,25027700
2023-10-23,318.0214287466955,325.1152889172781,316.96615830256553,321.7833251953125,24374700
2023-10-24,323.71800459686386,324.24565474799095,320.1026990318568,322.96563720703125,31153600
2023-10-25,337.1239893295993,338.2770069491987,329.8933489527061,332.8735656738281,55053800
2023-10-26,332.7465699625012,333.81162115649903,319.4578072066944,320.3860778808594,37828500
2023-10-27,322.8679216685348,329.0139799295623,320.8843805209721,322.2621154785156,29856500
2023-10-30,325.7796837612077,331.6814625082959,324.2358264617481,329.5904235839844,22828100
2023-10-31,331.0952162716641,331.241777466002,327.0304168400943,330.37213134765625,20265300
2023-11-01,332.01374650613616,339.4691349616439,331.8769361620282,338.1500244140625,28158800
2023-11-02,339.29318001958046,340.8467882699962,336.87970636333785,340.3484802246094,24348100
2023-11-03,341.6284859220493,346.2795596471139,339.3811050850171,344.7259216308594,23637700
2023-11-06,345.361075900052,349.3574699781312,345.26335850207806,348.3705749511719,23828300
2023-11-07,351.17493911544506,354.16490704694723,349.44545721598166,352.2790832519531,25833900
2023-11-08,353.40267618539207,355.54255878691407,352.2985323074461,354.8879089355469,26767800
2023-11-09,354.00856480709007,356.441600143659,352.11296032697913,352.4354248046875,24847300
2023-11-10,353.2170216186205,361.62999083919317,352.8066503312719,361.2098388671875,28042100
2023-11-13,359.7931253712149,360.03740401182273,357.5262124297735,358.2883605957031,19986500
